CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,TimeStamp
204001.0188,211152.6164,209432.4402,209431.3784,210554.8499,209905.0558,199600.9088,203307.0509,61.4800984,17.124772,245.6292328,0.009667944,0.007180157,0.003137199,58:43.6
204163.7941,211109.84,209386.4664,209383.1738,210524.7203,209932.3134,199890.0279,203442.054,61.3610704,18.2253232,246.0632272,0.008867165,0.005766587,0.001772456,58:43.8
204400.7123,211056.3477,209321.8411,209310.4321,210493.1197,209972.5014,200276.986,203621.2602,62.24346464,18.98270752,244.825336,0.014132288,0.004782214,0.00293261,58:44.1
204557.457,211007.8591,209271.9978,209275.819,210462.4858,210021.8526,200553.0276,203767.6204,61.86904528,18.81142928,244.8093435,0.064057941,0.026033625,0.003180656,58:44.3
204707.3607,210952.9643,209212.5782,209228.7655,210448.0181,210082.5775,200830.3726,203928.2701,61.1822232,12.8379328,246.2305989,0.144084104,0.040442279,0.010732394,58:44.5
204748.3806,210845.6361,209089.3307,209178.5895,210635.0245,210210.0468,201140.8263,204150.7049,78.83486912,58.14011168,226.6798531,0.699651041,0.294556863,0.295123268,58:44.7
204824.8478,210756.9652,209145.8485,209186.6859,210895.8528,210770.9276,201729.5987,204860.459,52.99041104,118.0628355,202.4239,0.609260159,0.411863203,0.763722654,58:44.9
205453.0755,210856.1477,209052.8638,208996.1863,210865.2233,211389.3826,202569.4846,205677.8967,87.70862016,122.8343323,215.7134067,0.242046744,0.176609411,0.299114957,58:45.1
206169.34,210671.0127,208670.9235,208615.9064,210552.8269,211515.3135,203160.2048,206058.8373,67.583488,140.3498824,210.536116,0.075519826,0.08541482,0.109208705,58:45.3
206706.7009,210531.3813,208515.8168,208476.4867,210372.0891,211568.9544,203708.3692,206418.5383,59.54354336,134.6325098,201.3322606,0.033443762,0.017740677,0.044332406,58:45.5
207065.3877,210494.4627,208473.809,208448.6843,210326.7278,211594.5993,204238.2779,206764.0683,59.53243408,138.4893832,201.8082506,0.060312346,0.014878868,0.063986653,58:45.7
207286.1753,210540.3391,208434.4558,208395.7116,210410.7686,211602.3573,204711.7931,206910.9609,66.24524704,143.2453758,193.6221762,0.082559847,0.032383218,0.034294834,58:45.9
207464.2504,210483.2992,208393.3128,208356.3309,210377.0644,211518.2998,205074.8682,207052.1472,64.6151128,151.8844891,191.8810712,0.029903244,0.019304638,0.013205044,58:46.1
207694.6799,210406.4236,208333.1137,208303.7331,210294.0871,211481.5652,205425.6342,207264.9198,61.92923072,149.6264974,192.6970539,0.012032196,0.008355447,0.008231424,58:46.3
207860.2413,210377.8462,208341.951,208323.2733,210232.3,211434.6481,205765.0161,207467.6576,62.4994664,150.3055064,190.3306552,0.012231414,0.009384742,0.011582002,58:46.5
208023.621,210345.6201,208308.6757,208276.2564,210201.7368,211444.6873,206065.1434,207636.0505,62.2650728,151.2668864,190.9686453,0.00515526,0.003452628,0.007309063,58:46.7
208168.218,210313.7932,208285.6314,208250.8746,210178.0245,211450.2023,206341.7845,207786.5893,61.3903696,151.3972678,190.0746534,0.008498025,0.005401353,0.004552234,58:46.9
208295.0868,210284.9669,208257.2161,208217.664,210144.3826,211452.873,206591.7698,207908.499,61.74904064,151.3422098,190.7125214,0.009136207,0.002892571,0.00842576,58:47.1
