CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ
96314.29887,110247.1469,116993.6093,114047.8823,126236.325,108455.9977,56492.50415,63141.6886,1.7451336,15.27306256,246.9854195,0.002933586,0.003608877,0.00563231
96419.87417,110352.552,117100.2995,114144.3783,126340,108638.5325,56703.03088,63487.51188,1.59912592,15.58924976,247.039623,0.003315421,0.004259266,0.005041491
96539.15205,110466.1794,117227.1083,114248.3539,126423.3151,108758.1414,56914.58436,63834.39099,1.63990064,15.76492288,246.954167,0.00441161,0.004240224,0.005275865
96644.27887,110558.0429,117326.8006,114331.0642,126521.6957,108940.5029,57103.46538,64132.90729,1.61279888,16.12872128,246.8660253,0.004290516,0.00408495,0.005411607
96795.3553,110733.272,117520.599,114508.8895,126663.911,109069.6799,57275.79995,64418.56601,1.6486904,16.11419376,246.9595386,0.005150377,0.003834463,0.005613755
96918.0424,110833.833,117621.3422,114603.7714,126779.5063,109232.4249,57454.24027,64714.60665,1.55664208,16.0101816,247.0171603,0.005617173,0.003859853,0.005367662
97076.9805,111018.2346,117822.4609,114790.0566,126940.5829,109356.8028,57644.00719,65018.94047,1.59216736,15.95024032,246.9824896,0.004908191,0.004132802,0.005491685
97128.70605,110990.3436,117772.7714,114727.8575,126904.3114,109481.1749,57855.83884,65328.63731,1.54260288,16.16558944,246.9590502,0.004616199,0.003895498,0.006024887
97191.23578,111056.4449,117859.9995,114798.891,126950.9201,109554.6044,58021.33225,65597.04153,1.5821568,16.2519,246.9257224,0.005991196,0.004007802,0.005262194
97313.40894,111222.7598,118032.852,114967.1467,127116.6942,109704.9237,58178.05311,65849.47369,1.48034208,16.13397072,246.9350005,0.006499007,0.003876943,0.006079574
97420.86031,111309.0032,118129.0702,115041.1999,127173.6077,109802.0549,58368.34617,66149.08103,1.49889824,16.02397664,246.8364819,0.006984845,0.004332997,0.006107895
97498.31326,111376.3623,118193.9088,115098.5254,127245.5525,109891.9386,58524.60667,66417.26147,1.5272208,15.60524224,246.9993366,0.006012192,0.003992177,0.005459459
97577.03198,111433.5431,118259.5768,115149.9199,127285.3755,109941.8327,58706.03973,66676.97892,1.57226832,15.55201536,247.0493894,0.005820298,0.003897939,0.005365221
97581.72198,111372.8032,118182.3197,115071.1979,127221.1621,109972.018,58872.70715,66931.92489,1.36522064,15.4223664,246.9553878,0.005644517,0.003854971,0.005042956
97514.06624,111294.3506,118101.0462,114969.9158,127122.5699,109991.2281,58987.51374,67107.13749,1.44469472,15.77359056,246.9566086,0.007155255,0.003549307,0.004886706
97428.26589,111140.7322,117923.8857,114792.4767,126930.9649,109985.3932,59057.78391,67208.66323,1.287944,15.9442584,246.9629568,0.007224591,0.004875476,0.004746082
97208.45861,110890.5484,117642.8982,114486.2599,126452.6357,109328.1945,59038.11639,67174.62064,0.68474672,16.09063232,247.602656,0.039774312,0.008164042,0.009949682
96750.8857,110282.2572,116985.361,113762.152,125600.6431,108048.351,58913.65961,67270.06036,0.82245296,9.67581664,246.4228749,0.018130813,0.007289044,0.006552229
96019.55339,109499.572,116265.1522,113181.3932,125432.814,108307.7301,58573.5824,67593.52142,0.50577744,10.6002064,247.0246072,0.01651363,0.01752144,0.013443325
95755.94428,109324.3248,116132.575,113003.9403,125311.2008,108420.8437,58367.06654,67852.43846,1.06172976,13.63780096,247.465316,0.008262674,0.00866697,0.007131818
95631.38623,109196.3576,115997.9522,112835.815,125044.9752,108083.9134,58283.39698,68020.36427,1.45104288,14.07692272,247.1563315,0.005310045,0.004163564,0.006109848
95509.9937,109055.7008,115850.6805,112675.6217,124864.0799,107868.8315,58195.91021,68128.05169,1.46642496,14.30911888,247.0696547,0.005949692,0.004008291,0.006249496
95341.86124,108856.0397,115659.6731,112468.6732,124646.3957,107664.8795,58127.81267,68185.51256,1.54834064,14.33915056,247.0645274,0.005142565,0.003843252,0.006254379
